Job_Title,Job_Type,Salary,Job_Skill,Gaji_Perbulan
control engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior emulation validation engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
merchant operations specialist (kyb) - shopeepay,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
senior associate-receipting,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
senior software content engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
dispatch clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
production controller/pc executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
management trainee (chinese speaker),Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
green building consultant (pulau pinang),Full-time,"USD 45,000 - 70,000 / YEARLY",Communication,"3,750 - 5,833"
front desk receptionist (kuching),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
electrical assistant technician,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
rm2500 retail management trainee (fresh graduate),Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
green building consultant (johor bahru),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
financial and investment analyst (full time) urgent hiring,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
it helpdesk specialist,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
"logistics, admin assistant",Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
r&d product and sensory intern,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
finance,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
protege - information technology,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
senior associate - finance key account desk,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
inspector of works - architect,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
3d piping & plant design engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior plant manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
purchaser assistant- senai area (rm 2600- rm 3500),Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
admin officer,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
technician special vehicle (hq rawang),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
logistics support internship,Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
assistant hr manager (bdr baru enstek),Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
logistics management lecturer,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
admin officer-( procurement & logistic dept),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
automation data engineer,Full-time,"USD 60,000 - 90,000 / YEARLY","Python, SQL, Excel","5,000 - 7,500"
protege - human resources (training),Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
pembantu klinik / jururawat,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
senior associate-rtr [intercompany and bank],Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
senior associate - customer data management,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
senior associate - quality (6 months contract),Contract,"USD 70,000 - 115,500 / YEARLY",Excel,"5,833 - 9,625"
draft person,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
data entry,Full-time,"USD 60,000 - 90,000 / YEARLY",SQL,"5,000 - 7,500"
aluminium casting engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
protege - mechanical/ electrical,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
"(ml)senior audit manager, change transformation",Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
senior full stack developer (12-month contract) (remote),Contract,"USD 70,000 - 115,500 / YEARLY","SQL, Java","5,833 - 9,625"
graphic artist,Full-time,"USD 45,000 - 70,000 / YEARLY",Communication,"3,750 - 5,833"
product development intern,Internship,"USD 18,000 - 24,000 / YEARLY",Data Analysis,"1,500 - 2,000"
"ui/ux software developer (based in b. mertajam, p.pinang)",Full-time,"USD 70,000 - 105,000 / YEARLY",SQL,"5,833 - 8,750"
account junior executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
internship/ practical/ industrial training — full time position,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
van courier (port klang),Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
dtp artist,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
"assistant manager (compliance, risk & integrity management)",Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
payroll team lead,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
maintenance executive(study m&e/ 5 yrs experience),Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
finance/admin assistant (penang),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
buyer (english speaker),Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
site safety supervisor with yellow book,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
soc design validation graduate trainee,Internship,"USD 18,000 - 24,000 / YEARLY","Python, Excel","1,500 - 2,000"
"executive, documentation / document controller",Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
invoicing cum general clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
systems engineer - based in melaka,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
group organizational strategist,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
cash equities operations - associate,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
intern for executive secretary,Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
receptionist (kuala lumpur),Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
junior chemist,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
production engineer (mechanical eng),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
site engineer (civil),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
system integration engineer (r&d),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
"mandarin speaking shipping & logistic clerk (teluk gong) 2,300.00-2,600.00",Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
precast engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
store supervisor,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
"female sales executive (shah alam) – 3,500.00-4,200.00- 5 days work",Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
customer quality engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
sales administration and secretary,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
sales consultant/ sales designer - interior design,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
business operations manager,Full-time,"USD 75,000 - 100,000 / YEARLY","Excel, Data Analysis","6,250 - 8,333"
head of accounting,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
finance executive (korean speaker),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
store hand,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
cnc programming engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
qc inspectors,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
hot work fitter,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
business analyst/project manager (work from home),Contract,"USD 60,000 - 99,000 / YEARLY",Excel,"5,000 - 8,250"
test manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
job recruiter,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
trainee (hrbp),Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
account assisstant,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
"fitter, electrical & instrumentation",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior manager-business process optimization,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
inside sales support clerk,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
account and administrative manager,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
materials (corrosion) engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
admin assistant (kelana jaya),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
electrical consulting engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
sales clerk cum receiptionist,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
sap mm lead- ptp,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
"manager, sustainability",Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
"senior electrical engineer, global facilities engineering",Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
junior account,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
iqc supervisor,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
"director, it controls programme coordination",Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
it client manager,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
outdoor technician,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
senior associate - billing,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
"assistant sales mgr, pf (1010192)",Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
technical superintendent offshore (0041 mar 2024),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
help desk support specialists(open for freshers & experience,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
account  & admin assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
network & infrastructure engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
fabrication quality process manager,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
qa technician,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
sales & marketing coordinator,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
assistant  supervisor / supervisor,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
junior admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
maintenance technician (mechanical),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
production - production & design assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
"production engineer l sitiawan, perak",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
construction coordinator,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
electrical technician (bintulu),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
cost & contract assistant,Contract,"USD 30,000 - 55,000 / YEARLY",Excel,"2,500 - 4,583"
network project manager,Contract,"USD 75,000 - 110,000 / YEARLY",Communication,"6,250 - 9,167"
security leader,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
intern - payroll,Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
senior specialist-bpo [service quality],Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
technical business consultant,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
"analyst, accounts payable",Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
content and social media executive,Full-time,"USD 45,000 - 70,000 / YEARLY",Communication,"3,750 - 5,833"
desk side support engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
pustakawan (librarian for moulds),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
"tm, production asrnc/ projects (1009806)",Contract,"USD 45,000 - 90,750 / YEARLY",Communication,"3,750 - 7,562"
hr cum admin,Full-time,"USD 30,000 - 50,000 / YEARLY",SQL,"2,500 - 4,167"
safety & health manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
plant operator,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
sr. it analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
premier service manager (1010218),Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
sales consultant - automotive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
sap consultant- cs,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
sap cs module lead,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
service engineer / project engineer,Contract,"USD 70,000 - 115,500 / YEARLY",Communication,"5,833 - 9,625"
hq: sales coordinator,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
sales advisor kujdt,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
test engineer / lead,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
hr & admin executive / assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
software content engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
assistant manager business intelligence,Full-time,"USD 75,000 - 100,000 / YEARLY","SQL, Excel","6,250 - 8,333"
protege - district supervisor,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
construction engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
personal assistant to the md cum human resources coordinator,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
customer service assistant (new),Full-time,"USD 30,000 - 50,000 / YEARLY",SQL,"2,500 - 4,167"
(it) technical support and admin executive,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
general worker for furniture shop,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
pekerja sambilan harian (psh),Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
smt technician,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
"director, third party controls acg",Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
hse executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
debug technician in johor bahru,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
"officer, parking administration",Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
maintenance,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
automotive electrical,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
administration  executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
jr site supervisor,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
despatch,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
accountant cum admin,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
document admin,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
human resources & admin officer//pasir gudang,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
account and tax executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
technician ( testing and soldering) - johor bahru,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
chief officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
"executive, business operations",Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
customer service cum it support officer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
f&b coordinatoor (kitchen & services),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
corporate sales executive - mandarin speaker,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
planning director,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
global technology assistant manager - sap sd mdm,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
deal & contract assist specialist (korean speaker),Contract,"USD 45,000 - 90,750 / YEARLY",Excel,"3,750 - 7,562"
senior account excutive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
telephone operator,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
digital marketing - butik muslimah,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
training executive,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
sales development account manager -  inside scale,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
test automation engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
drafter structure,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
webmethods lead,Full-time,"USD 75,000 - 100,000 / YEARLY","SQL, Java","6,250 - 8,333"
aws cloud architect,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
senior executive (human resource),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
sap sd-l2c lead,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
hardware debug and failure analysis engineer,Full-time,"USD 60,000 - 90,000 / YEARLY",Python,"5,000 - 7,500"
mass communications interns,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
project management executive,Contract,"USD 45,000 - 90,750 / YEARLY",Communication,"3,750 - 7,562"
forging tool & mechanization specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
sales excellence - pricing manager,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
clinical research associate,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
sap system controller,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
servicenow - solution lead,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
reporting & statutory senior analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
it business analyst - sap fico (copa),Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
project management officer,Contract,"USD 45,000 - 90,750 / YEARLY",Communication,"3,750 - 7,562"
senior compensation and benefits analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
tender admin,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
construction & structural manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
"snr mgr, esg and reputational risk",Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
mis officer (application support),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
mobile engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
global technology assistant manager - sap sd mcb,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
purchase assistance,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
customer service – it support (kl base),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
process engineering,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
billing assistant cum admin,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
"asso.director,cfcc dataconduct,privacy&sovereignty",Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
project admin clerk,Contract,"USD 30,000 - 55,000 / YEARLY",Communication,"2,500 - 4,583"
office adminstration,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
backend developer,Full-time,"USD 70,000 - 105,000 / YEARLY",React,"5,833 - 8,750"
data entry clerk (urgent),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
civil manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
mechanical engineering,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
career services officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
genai analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
big data fraud analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",Data Analysis,"5,000 - 7,500"
accounts executive (fresh graduate),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
protege program-after sales technician (based bukit tengah),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior rpa developer,Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Machine Learning","5,833 - 8,750"
network engineer - kuching,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
branch finance administrator (chan sow lin),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
test technician (pcba),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
learning & development executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
electrical officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
junior software developer,Full-time,"USD 70,000 - 105,000 / YEARLY",Machine Learning,"5,833 - 8,750"
secretary/admin eksekutif,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
frontend engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
server engineer (linux/unix),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
admin offcer,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
order to cash process excellence expert,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
admin (document controller) bandar kinrara puchong,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
outdoor sales executive (kl),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
buyer (mandarin speaker),Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
it technician (network & security),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
assistant finance manager (6-month contract),Contract,"USD 50,000 - 82,500 / YEARLY",Excel,"4,167 - 6,875"
"compliance officer, my",Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
junior maintenance executive,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
administrator assistant,Full-time,"USD 30,000 - 50,000 / YEARLY","SQL, Excel","2,500 - 4,167"
global invoice processing specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
admin and pa,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
accounts executive/officer/assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"counterfeit brand protection (listing agents) - operations, sg marketplace",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
hr systems test coordinator,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
manager data analytics,Full-time,"USD 60,000 - 90,000 / YEARLY",Python,"5,000 - 7,500"
key account specialist - life science,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
admin cum receptionist,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
safety executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Data Analysis,"3,750 - 6,875"
accounts officer / credit control,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
senior qa/qc leader,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
second officer dpo,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
walker foodpanda,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
client services specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
warehouse executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
service lead,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
fraud risk business analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",Data Analysis,"5,000 - 7,500"
unit trust adviser/ private retirement scheme adviser,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
engineering manager in johor bahru,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
project admin / coordinator,Contract,"USD 30,000 - 55,000 / YEARLY",Communication,"2,500 - 4,583"
marketing admin assistant for umoment gifts and souvernier,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
risk operation specialist (fraud),Full-time,"USD 45,000 - 82,500 / YEARLY",Data Analysis,"3,750 - 6,875"
accounts payable intern,Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
recovery officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
sales executive (chinese),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
account executive (mont kiara),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
finance & admin executive (accounting),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
